BJD,V,V_error
2457998.44457359,12.416,0.015
2457998.4456616,12.406,0.015
2457998.44674961,12.371,0.015
2457998.44783761,12.349,0.014
2457998.44887862,12.352,0.014
2457998.44996663,12.337,0.014
2457998.45104364,12.326,0.014
2457998.45210864,12.307,0.014
2457998.45745568,12.359,0.015
2457998.45853169,12.35,0.015
2457998.45960869,12.373,0.015
2457998.4606847,12.402,0.015
2457998.46173771,12.404,0.015
2457998.46386772,12.419,0.015
2457998.46493273,12.407,0.015
2457998.46602074,12.432,0.015
2457998.46705075,12.428,0.015
2457998.46813875,12.43,0.015
2457998.46920376,12.44,0.015
2457998.47025677,12.446,0.015
2457998.47129877,12.446,0.015
2457998.47235178,12.452,0.014
2457998.47340479,12.455,0.015
2457998.4744808,12.449,0.015
2457998.4755348,12.457,0.015
2457998.47659881,12.445,0.015
2457998.47765282,12.444,0.015
2457998.47869382,12.455,0.015
2457998.47977083,12.463,0.015
2457998.48084684,12.466,0.015
2457998.48188885,12.461,0.015
2457998.48295385,12.462,0.015
2457998.48401786,12.467,0.015
2457998.48508287,12.458,0.015
2457998.48613587,12.458,0.015
2457998.48718988,12.454,0.015
2457998.48824289,12.461,0.015
2457998.48930789,12.469,0.015
2457998.4903609,12.475,0.015
2457998.49143691,12.478,0.015
2457998.49250192,12.471,0.015
2457998.49354392,12.489,0.015
2457998.49458593,12.482,0.015
2457998.49561594,12.477,0.015
2457998.49667994,12.476,0.015
2457998.49775695,12.477,0.015
2457998.49882196,12.459,0.015
2457998.49987496,12.454,0.015
2457998.50093997,12.464,0.015
2457998.50198098,12.445,0.015
2457998.50304599,12.435,0.015
2457998.50411099,12.43,0.014
2457998.505176,12.41,0.014
2457998.506241,12.405,0.014
2457998.50729401,12.4,0.014
2457998.50835902,12.4,0.014
2457998.50941203,12.357,0.014
2457998.51045403,12.357,0.014
2457998.51150704,12.345,0.014
2457998.51257205,12.329,0.014
2457998.51362505,12.34,0.014
2457998.51467806,12.318,0.014
2457998.51576607,12.339,0.014
2457998.51683107,12.318,0.014
2457998.51790708,12.34,0.014
2457998.51896109,12.344,0.014
2457998.52001409,12.371,0.014
2457998.5210551,12.365,0.014
2457998.52210911,12.385,0.014
2457998.52316211,12.38,0.014
2457998.52420412,12.382,0.014
2457998.52528013,12.39,0.014
2457998.52635613,12.398,0.014
2457998.52743314,12.404,0.014
2457998.52847415,12.425,0.014
2457998.52953915,12.44,0.014
2457998.53059216,12.442,0.014
2457998.53164617,12.446,0.014
2457998.53271117,12.458,0.014
2457998.53377518,12.443,0.014
2457998.53485219,12.45,0.014
2457998.53590519,12.463,0.014
2457998.5369582,12.473,0.014
2457998.53803521,12.467,0.014
