BJD,JD,V,V_error
2456510.4723997,2456510.46715,12.97,0.004
2456510.47313974,2456510.46789,12.974,0.004
2456510.47387977,2456510.46863,12.964,0.004
2456510.4746198,2456510.46937,12.966,0.004
2456510.47534984,2456510.4701,13,0.004
2456510.47609987,2456510.47085,12.967,0.004
2456510.4768399,2456510.47159,12.97,0.004
2456510.47759994,2456510.47235,12.965,0.004
2456510.47833997,2456510.47309,12.977,0.004
2456510.47907,2456510.47382,12.973,0.004
2456510.47981004,2456510.47456,12.962,0.004
2456510.48054007,2456510.47529,12.967,0.004
2456510.4812801,2456510.47603,12.971,0.004
2456510.48201013,2456510.47676,12.968,0.004
2456510.48276017,2456510.47751,12.975,0.004
2456510.4835102,2456510.47826,12.97,0.004
2456510.48425024,2456510.479,12.987,0.004
2456510.48499027,2456510.47974,13.003,0.004
2456510.4857403,2456510.48049,12.993,0.004
2456510.48649034,2456510.48124,12.995,0.004
2456510.48723037,2456510.48198,12.99,0.004
2456510.4879704,2456510.48272,13.015,0.004
2456510.48870043,2456510.48345,12.993,0.004
2456510.48945047,2456510.4842,13.008,0.004
2456510.4901805,2456510.48493,12.993,0.004
2456510.49092053,2456510.48567,12.992,0.004
2456510.49167057,2456510.48642,12.991,0.004
2456510.4924006,2456510.48715,13.002,0.004
2456510.49314064,2456510.48789,12.991,0.004
2456510.49388067,2456510.48863,12.989,0.004
2456510.4946207,2456510.48937,12.991,0.004
2456510.49536073,2456510.49011,13.007,0.004
2456510.49610077,2456510.49085,13.008,0.004
2456510.4968308,2456510.49158,13.005,0.004
2456510.49757083,2456510.49232,13.02,0.004
2456510.49831087,2456510.49306,13.015,0.004
2456510.4990509,2456510.4938,13.046,0.004
2456510.49978093,2456510.49453,13.013,0.004
2456510.50052096,2456510.49527,13.045,0.004
2456510.501271,2456510.49602,13.029,0.004
2456510.50199103,2456510.49674,13.037,0.004
2456510.50274106,2456510.49749,13.032,0.004
2456510.5034811,2456510.49823,13.031,0.004
2456510.50422113,2456510.49897,13.029,0.004
2456510.50496116,2456510.49971,13.029,0.004
2456510.5057012,2456510.50045,13.049,0.004
2456510.50644123,2456510.50119,13.032,0.004
2456510.50717126,2456510.50192,13.031,0.004
2456510.5079013,2456510.50265,13.052,0.005
2456510.50864133,2456510.50339,13.045,0.005
2456510.50938136,2456510.50413,13.044,0.004
2456510.51012139,2456510.50487,13.044,0.004
2456510.51087143,2456510.50562,13.028,0.004
2456510.51161146,2456510.50636,13.03,0.004
2456510.5123415,2456510.50709,13.029,0.004
2456510.51308153,2456510.50783,13.03,0.004
2456510.51382156,2456510.50857,13.021,0.004
2456510.51456159,2456510.50931,13.02,0.004
2456510.51529163,2456510.51004,13.014,0.004
2456510.51603166,2456510.51078,13.025,0.004
2456510.51677169,2456510.51152,13.029,0.004
2456510.51752173,2456510.51227,13.009,0.004
2456510.51826176,2456510.51301,13.009,0.004
2456510.51899179,2456510.51374,13.021,0.004
2456510.51973183,2456510.51448,13.011,0.004
2456510.52048186,2456510.51523,12.978,0.004
2456510.52122189,2456510.51597,13.01,0.004
2456510.52195192,2456510.5167,12.972,0.004
2456510.52269196,2456510.51744,12.957,0.004
2456510.52343199,2456510.51818,12.952,0.004
2456510.52417202,2456510.51892,12.929,0.004
2456510.52491206,2456510.51966,12.928,0.004
2456510.52565209,2456510.5204,12.94,0.004
2456510.52640213,2456510.52115,12.929,0.004
2456510.52714216,2456510.52189,12.925,0.004
2456510.52789219,2456510.52264,12.934,0.004
2456510.52863222,2456510.52338,12.945,0.005
2456510.52936226,2456510.52411,12.927,0.005
2456510.53010229,2456510.52485,12.962,0.005
2456510.53084232,2456510.52559,12.967,0.004
2456510.53158236,2456510.52633,12.963,0.004
2456510.53233239,2456510.52708,12.968,0.004
2456510.53306242,2456510.52781,12.965,0.004
2456510.53380246,2456510.52855,12.974,0.004
2456510.53454249,2456510.52929,12.977,0.004
2456510.53528252,2456510.53003,12.989,0.004
2456510.53602256,2456510.53077,12.992,0.004
2456510.53677259,2456510.53152,13.009,0.004
2456510.53752262,2456510.53227,12.973,0.004
2456510.53824265,2456510.53299,12.982,0.004
2456510.53897269,2456510.53372,13.017,0.004
2456510.53971272,2456510.53446,12.956,0.004
2456510.54047276,2456510.53522,12.958,0.004
2456510.54120279,2456510.53595,12.965,0.004
2456510.54194282,2456510.53669,12.989,0.004
2456510.54268285,2456510.53743,12.978,0.005
2456510.54341289,2456510.53816,13.003,0.005
2456510.54415292,2456510.5389,12.98,0.006
2456510.54489295,2456510.53964,12.987,0.005
2456510.54561298,2456510.54036,13.011,0.005
2456510.54633302,2456510.54108,13.011,0.004
2456510.54706305,2456510.54181,13.001,0.004
2456510.54778308,2456510.54253,13.007,0.004
2456510.54851312,2456510.54326,13.006,0.004
2456510.54924315,2456510.54399,13.017,0.005
2456510.54996318,2456510.54471,13.003,0.004
2456510.55069321,2456510.54544,13.004,0.004
2456510.55140324,2456510.54615,12.998,0.004
2456510.55213328,2456510.54688,13.01,0.004
