Phase,BJD,JD,V,V_error
1.4172710258,2457610.28377672,2457610.28307,14.041,0.0094339811
1.4213156809,2457610.2840767,2457610.28337,14.025,0.0094339811
1.4252253722,2457610.28436667,2457610.28366,14.03,0.0094339811
1.4292698954,2457610.28466664,2457610.28396,14.061,0.0094339811
1.4418080863,2457610.28559656,2457610.28489,14.001,0.0094339811
1.4458527414,2457610.28589654,2457610.28519,14.053,0.0094339811
1.4497624327,2457610.28618651,2457610.28548,14.052,0.0094339811
1.4543462772,2457610.28652648,2457610.28582,14.026,0.0094339811
1.4583907941,2457610.28682645,2457610.28612,14.038,0.0086023253
1.4623006173,2457610.28711643,2457610.28641,14.006,0.0102956301
1.4663451405,2457610.2874164,2457610.28671,14.008,0.0108166538
1.4705244956,2457610.28772637,2457610.28702,14.033,0.0116619038
1.4745690126,2457610.28802634,2457610.28732,14.029,0.0108166538
1.4786136676,2457610.28832632,2457610.28762,14.029,0.0094339811
1.4827930227,2457610.28863629,2457610.28793,14.046,0.01
1.486837546,2457610.28893626,2457610.28823,14.049,0.0094339811
1.4907473692,2457610.28922624,2457610.28852,14.039,0.0102956301
1.4953312136,2457610.28956621,2457610.28886,14.029,0.0108166538
1.4993757368,2457610.28986618,2457610.28916,14.012,0.0102956301
1.5035550857,2457610.29017615,2457610.28947,14.076,0.0094339811
1.5075997407,2457610.29047613,2457610.28977,14.039,0.0094339811
1.5115094321,2457610.2907661,2457610.29006,14.027,0.0094339811
1.5155540871,2457610.29106608,2457610.29036,14.017,0.0108166538
1.5198682741,2457610.29138605,2457610.29068,14.024,0.0108166538
1.5239127911,2457610.29168602,2457610.29098,14.037,0.0108166538
1.5279573143,2457610.29198599,2457610.29128,14.039,0.0108166538
1.5318671375,2457610.29227597,2457610.29157,14.035,0.0116619038
1.5363161501,2457610.29260594,2457610.2919,14.05,0.0116619038
1.5406303371,2457610.29292591,2457610.29222,14.026,0.0130384048
1.544674854,2457610.29322588,2457610.29252,14.044,0.0116619038
1.5485846835,2457610.29351586,2457610.29281,14.036,0.0130384048
1.5526292004,2457610.29381583,2457610.29311,14.059,0.0116619038
1.5566737236,2457610.2941158,2457610.29341,14.012,0.0130384048
1.5608532106,2457610.29442578,2457610.29372,14.067,0.0144222051
1.5648977338,2457610.29472575,2457610.29402,13.98,0.016643317
1.5690770826,2457610.29503572,2457610.29433,14.055,0.0152643375
1.5732565696,2457610.2953457,2457610.29464,14.054,0.016643317
1.5775707566,2457610.29566567,2457610.29496,14.068,0.0188679623
1.5816152735,2457610.29596564,2457610.29526,14.055,0.0219544984
1.5856597967,2457610.29626561,2457610.29556,14.039,0.0174928557
1.5895696199,2457610.29655559,2457610.29585,14.044,0.0197230829
1.5936141431,2457610.29685556,2457610.29615,13.974,0.0219544984
1.5976586664,2457610.29715553,2457610.29645,14.082,0.0210950231
1.6019729789,2457610.29747551,2457610.29677,14.033,0.0233238076
1.606152334,2457610.29778548,2457610.29708,14.142,0.0228035085
1.6101968572,2457610.29808545,2457610.29738,14.064,0.0224722051
1.6142413742,2457610.29838542,2457610.29768,14.081,0.0219544984
1.618555693,2457610.2987054,2457610.298,14.051,0.0210950231
1.6226002162,2457610.29900537,2457610.2983,14.021,0.0216333077
1.626779565,2457610.29931534,2457610.29861,14.018,0.0219544984
1.6305545626,2457610.29959532,2457610.29889,14.049,0.0188679623
1.6348687433,2457610.29991529,2457610.29921,14.07,0.0188679623
1.6389132666,2457610.30021526,2457610.29951,14.031,0.0197230829
1.6429579216,2457610.30051524,2457610.29981,14.047,0.0219544984
1.6471372705,2457610.30082521,2457610.30012,14.044,0.0252388589
1.6511817937,2457610.30112518,2457610.30042,14.029,0.0241867732
1.6552263169,2457610.30142515,2457610.30072,14.029,0.0233238076
1.6596754613,2457610.30175513,2457610.30105,14.124,0.0202484567
1.6637199846,2457610.3020551,2457610.30135,14.027,0.0205912603
1.6678993397,2457610.30236507,2457610.30166,14.052,0.0210950231
1.6719438566,2457610.30266504,2457610.30196,14.022,0.0205912603
1.6758536861,2457610.30295502,2457610.30225,14.028,0.0197230829
1.679898203,2457610.30325499,2457610.30255,14.022,0.0202484567
1.6839428581,2457610.30355497,2457610.30285,14.048,0.0174928557
1.6882570451,2457610.30387494,2457610.30317,14.063,0.016643317
1.692301562,2457610.30417491,2457610.30347,14.108,0.0180277564
1.6963460852,2457610.30447488,2457610.30377,14.085,0.0174928557
1.7006604041,2457610.30479486,2457610.30409,14.067,0.0174928557
1.7048397529,2457610.30510483,2457610.3044,14.036,0.0161245155
1.7088842761,2457610.3054048,2457610.3047,14.032,0.0161245155
1.7130636312,2457610.30571477,2457610.30501,14.056,0.013892444
1.7169734544,2457610.30600475,2457610.3053,14.06,0.0130384048
1.7210179776,2457610.30630472,2457610.3056,14.079,0.0144222051
1.7250626327,2457610.3066047,2457610.3059,14.101,0.0144222051
1.7292419815,2457610.30691467,2457610.30621,14.063,0.013892444
1.7334213366,2457610.30722464,2457610.30652,14.056,0.0197230829
1.7374658536,2457610.30752461,2457610.30682,14.066,0.0224722051
1.7417800405,2457610.30784458,2457610.30714,14.041,0.0246981781
1.7459595275,2457610.30815456,2457610.30745,14.018,0.030016662
