BJD,JD,V,V_error
2455914.73524668,2455914.7328,16.681,0.068
2455914.73749668,2455914.73505,16.652,0.067
2455914.73972668,2455914.73728,16.948,0.084
2455914.74195667,2455914.73951,16.828,0.078
2455914.74420667,2455914.74176,16.904,0.083
2455914.74643667,2455914.74399,16.799,0.07
2455914.74867666,2455914.74623,16.739,0.067
2455914.75091666,2455914.74847,16.687,0.067
2455914.75462666,2455914.75218,16.885,0.078
2455914.75686665,2455914.75442,17.028,0.083
2455914.75912665,2455914.75668,16.787,0.073
2455914.76138665,2455914.75894,17.077,0.093
2455914.76362664,2455914.76118,17.067,0.091
2455914.76588664,2455914.76344,16.815,0.072
2455914.76813664,2455914.76569,16.836,0.077
2455914.77039663,2455914.76795,16.941,0.085
2455914.77264663,2455914.7702,17.005,0.085
2455914.77488663,2455914.77244,17.029,0.089
2455914.77713662,2455914.77469,16.933,0.083
2455914.77937662,2455914.77693,16.887,0.084
2455914.78163662,2455914.77919,16.995,0.088
2455914.78390661,2455914.78146,17.123,0.098
2455914.78617661,2455914.78373,16.984,0.088
2455914.78842661,2455914.78598,16.846,0.078
2455914.79069661,2455914.78825,16.959,0.087
2455914.7929466,2455914.7905,16.857,0.081
2455914.7962966,2455914.79385,16.986,0.092
2455914.79856659,2455914.79612,16.59,0.063
2455914.80082659,2455914.79838,16.897,0.09
2455914.80309659,2455914.80065,16.963,0.09
2455914.80533658,2455914.80289,16.956,0.089
2455914.80759658,2455914.80515,16.934,0.088
2455914.80985658,2455914.80741,16.947,0.087
2455914.81212658,2455914.80968,16.893,0.077
2455914.81438657,2455914.81194,17.07,0.092
2455914.81665657,2455914.81421,16.887,0.082
2455914.81892656,2455914.81648,16.98,0.081
2455914.82119656,2455914.81875,17.205,0.12
2455914.82346656,2455914.82102,16.877,0.093
2455914.82574655,2455914.8233,16.869,0.085
2455914.82801655,2455914.82557,16.774,0.079
2455914.83029655,2455914.82785,16.93,0.09
2455914.83257655,2455914.83013,17.065,0.096
2455914.83484654,2455914.8324,17.286,0.127
2455914.83798654,2455914.83554,17.118,0.11
2455914.84024653,2455914.8378,17.298,0.137
2455914.84252653,2455914.84008,17.022,0.094
2455914.84480653,2455914.84236,16.845,0.086
2455914.84707652,2455914.84463,16.777,0.081
2455914.84935652,2455914.84691,16.891,0.093
2455914.85164652,2455914.8492,16.989,0.102
2455914.85392652,2455914.85148,16.996,0.103
2455914.85620651,2455914.85376,17.059,0.11
2455914.85850651,2455914.85606,17.039,0.108
2455914.86078651,2455914.85834,17.05,0.115
2455914.8630865,2455914.86064,17.116,0.293
2455916.5470933,2455916.54465,17.132,0.103
2455916.55030329,2455916.54786,16.956,0.089
2455916.55349329,2455916.55105,17.05,0.105
2455916.55670328,2455916.55426,16.909,0.078
2455916.55992327,2455916.55748,16.958,0.086
2455916.56312326,2455916.56068,17.04,0.103
2455916.56635325,2455916.56391,17.042,0.097
2455916.56955325,2455916.56711,16.991,0.094
2455916.57276324,2455916.57032,17.003,0.092
2455916.57598323,2455916.57354,17.077,0.097
2455916.57919322,2455916.57675,17.121,0.108
2455916.58239322,2455916.57995,17.081,0.103
2455916.5888632,2455916.58642,17.268,0.114
2455916.59207319,2455916.58963,16.974,0.084
2455916.59528319,2455916.59284,16.88,0.084
2455916.59850318,2455916.59606,16.802,0.076
2455916.60171317,2455916.59927,16.895,0.082
2455916.60494316,2455916.6025,17.132,0.105
2455916.60815316,2455916.60571,16.873,0.077
2455916.61143315,2455916.60899,17.025,0.088
2455916.61475314,2455916.61231,17.151,0.099
2455916.61807313,2455916.61563,16.766,0.077
2455916.62142312,2455916.61898,16.824,0.074
2455916.62475312,2455916.62231,17.044,0.095
2455916.6296531,2455916.62721,16.88,0.241
2455916.6321231,2455916.62968,16.859,0.23
2455916.63460309,2455916.63216,16.822,0.218
2455916.63707309,2455916.63463,16.73,0.071
2455916.63953308,2455916.63709,16.916,0.076
2455916.64199308,2455916.63955,16.778,0.067
2455916.64443307,2455916.64199,16.91,0.074
2455916.64687306,2455916.64443,17.289,0.105
2455916.64932306,2455916.64688,17.125,0.085
2455916.65176305,2455916.64932,17.012,0.083
2455916.65421305,2455916.65177,17.312,0.107
2455916.65665304,2455916.65421,17.328,0.097
2455916.65911303,2455916.65667,17.418,0.115
2455916.66155303,2455916.65911,17.32,0.104
2455916.66434302,2455916.6619,17.178,0.094
2455916.66713302,2455916.66469,17.275,0.106
2455916.671823,2455916.66938,17.383,0.113
2455916.674713,2455916.67227,17.409,0.115
2455916.7130529,2455916.71061,16.906,0.07
2455916.7152629,2455916.71282,16.832,0.07
2455916.71751289,2455916.71507,16.729,0.068
2455916.71974289,2455916.7173,16.854,0.074
2455916.72198288,2455916.71954,16.895,0.078
2455916.72422288,2455916.72178,17.005,0.078
2455916.72647287,2455916.72403,16.93,0.079
2455916.72870287,2455916.72626,16.97,0.083
2455916.73092286,2455916.72848,17.115,0.091
2455916.73317285,2455916.73073,16.905,0.078
2455916.73540285,2455916.73296,17.046,0.09
2455916.73764284,2455916.7352,16.96,0.072
2455916.73987284,2455916.73743,17.003,0.079
2455916.74212283,2455916.73968,17.228,0.113
2455916.74435283,2455916.74191,17.04,0.089
2455916.74661282,2455916.74417,17.081,0.087
2455916.74884282,2455916.7464,17.12,0.088
2455916.75107281,2455916.74863,17.069,0.089
2455916.7547228,2455916.75228,17.051,0.088
2455916.7569428,2455916.7545,17.05,0.082
2455916.75919279,2455916.75675,16.862,0.069
2455916.76143279,2455916.75899,16.87,0.069
2455916.76367278,2455916.76123,16.804,0.071
2455916.76591277,2455916.76347,16.88,0.081
2455916.76815277,2455916.76571,16.861,0.069
2455916.77039276,2455916.76795,17.04,0.08
2455916.77265276,2455916.77021,16.845,0.071
2455916.77488275,2455916.77244,17.183,0.09
2455916.77714275,2455916.7747,16.905,0.072
2455916.77940274,2455916.77696,16.83,0.072
2455916.78165274,2455916.77921,17.032,0.082
2455916.78391273,2455916.78147,16.782,0.069
2455916.78617272,2455916.78373,16.812,0.064
2455916.78844272,2455916.786,16.946,0.07
2455916.79069271,2455916.78825,16.818,0.064
2455916.79294271,2455916.7905,16.809,0.068
2455916.7964127,2455916.79397,16.836,0.071
2455916.79868269,2455916.79624,16.92,0.073
2455916.80092269,2455916.79848,16.812,0.071
2455916.80318268,2455916.80074,16.873,0.073
2455916.80544268,2455916.803,16.841,0.078
2455916.80769267,2455916.80525,16.984,0.084
2455916.80996267,2455916.80752,16.938,0.08
2455916.81450265,2455916.81206,16.945,0.077
2455916.81677265,2455916.81433,17.213,0.106
2455916.81903264,2455916.81659,17.291,0.115
2455916.82128264,2455916.81884,16.742,0.069
2455916.82356263,2455916.82112,17.541,0.139
2455916.82582263,2455916.82338,17.326,0.108
2455916.82810262,2455916.82566,17.308,0.121
2455916.83038261,2455916.82794,17.46,0.128
2455916.83265261,2455916.83021,17.337,0.112
2455916.8349326,2455916.83249,17.159,0.112
2455916.8379326,2455916.83549,17.148,0.098
2455916.84019259,2455916.83775,17.235,0.115
2455916.84246258,2455916.84002,17.212,0.112
2455916.84475258,2455916.84231,17.256,0.115
2455916.84933257,2455916.84689,17.258,0.108
2455916.85161256,2455916.84917,17.326,0.133
2455916.85388256,2455916.85144,17.049,0.093
2455916.86073254,2455916.85829,17.224,0.119
2455916.86300253,2455916.86056,16.868,0.1
2455917.62519047,2455917.62275,17.245,0.118
2455917.62972046,2455917.62728,17.468,0.138
2455917.63220045,2455917.62976,17.059,0.311
2455917.64687041,2455917.64443,16.835,0.417
2455917.6493204,2455917.64688,17.018,0.405
2455917.71963019,2455917.71719,17.253,0.11
2455917.72186019,2455917.71942,17.262,0.107
2455917.72854017,2455917.7261,17.293,0.14
2455917.73298015,2455917.73054,17.507,0.132
2455917.73522015,2455917.73278,17.349,0.133
2455917.73745014,2455917.73501,17.242,0.12
2455917.73966013,2455917.73722,17.167,0.097
2455917.74190013,2455917.73946,17.427,0.139
2455917.74413012,2455917.74169,17.177,0.119
2455917.74636011,2455917.74392,17.403,0.12
2455917.74859011,2455917.74615,17.056,0.112
2455917.75907008,2455917.75663,16.714,0.118
2455917.76132007,2455917.75888,16.761,0.099
2455917.76355006,2455917.76111,17.046,0.153
2455917.76578006,2455917.76334,17.22,0.187
2455917.76802005,2455917.76558,16.696,0.123
2455917.77028004,2455917.76784,17.127,0.164
2455917.81222992,2455917.80979,17.174,0.127
2455917.8167499,2455917.81431,17.305,0.133
2455918.54723757,2455918.5448,16.912,0.12
2455918.55044756,2455918.54801,16.909,0.12
2455918.55365755,2455918.55122,17.139,0.141
2455918.55687753,2455918.55444,17.12,0.105
2455918.56007752,2455918.55764,17.383,0.124
2455918.56325751,2455918.56082,17.188,0.104
2455918.5664375,2455918.564,17.183,0.104
2455918.56962749,2455918.56719,17.191,0.102
2455918.57281748,2455918.57038,17.135,0.107
2455918.57602747,2455918.57359,17.191,0.098
2455918.57920746,2455918.57677,17.046,0.088
2455918.58240745,2455918.57997,17.107,0.089
2455918.58884743,2455918.58641,17.331,0.109
2455918.59204742,2455918.58961,17.253,0.105
2455918.5952474,2455918.59281,17.606,0.147
2455918.59845739,2455918.59602,17.132,0.098
2455918.60167738,2455918.59924,17.166,0.096
2455918.60498737,2455918.60255,17.364,0.122
2455918.60829736,2455918.60586,17.291,0.107
2455918.61157735,2455918.60914,17.47,0.143
2455918.61493734,2455918.6125,17.097,0.103
2455918.61826733,2455918.61583,17.716,0.167
2455918.62160731,2455918.61917,17.489,0.13
2455918.6249473,2455918.62251,17.638,0.146
2455918.62964729,2455918.62721,17.187,0.103
2455918.63208728,2455918.62965,17.13,0.291
2455918.63456727,2455918.63213,17.064,0.276
2455918.63701726,2455918.63458,17.15,0.292
2455918.63947725,2455918.63704,17.054,0.289
2455918.64190724,2455918.63947,17.101,0.292
2455918.64434724,2455918.64191,17.14,0.294
2455918.64679723,2455918.64436,17.427,0.369
2455918.64925722,2455918.64682,17.267,0.342
2455918.65170721,2455918.64927,17.317,0.349
2455918.6541572,2455918.65172,17.262,0.328
2455918.65660719,2455918.65417,17.216,0.112
